Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
Branding Drafts,Branding,360 Branding Scope. Draft 28.docx,Branding Drafts\360 Branding Scope. Draft 28.docx,.docx,766,"Branding + Management, Marketing, Automation","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,Agentic Branding Orchestration Architect. Draft 39.docx,Branding Drafts\Agentic Branding Orchestration Architect. Draft 39.docx,.docx,3110,"Branding + Automation, Marketing, Management",Provides agent/runtime instructions or integration contracts for automating Branding work.,Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,Audience Navigation in Branding. Draft 33.docx,Branding Drafts\Audience Navigation in Branding. Draft 33.docx,.docx,546,"Branding + Marketing, Automation, Management","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,.gitignore,Branding Drafts\bois\.gitignore,[none],0,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,.gitkeep,Branding Drafts\bois\.gitkeep,[none],0,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\__init__.py,.py,3,Branding + Automation,"Preserves reusable Branding source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.cpython-312.pyc,Branding Drafts\bois\__pycache__\__init__.cpython-312.pyc,.pyc,11,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Measurement / KPI asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,Medium,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,AGENT_SYSTEM.md,Branding Drafts\bois\agents\AGENT_SYSTEM.md,.md,631,"Branding + Automation, Marketing, Sector",Provides agent/runtime instructions or integration contracts for automating Branding work.,Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,README.md,Branding Drafts\bois\api\README.md,.md,98,"Branding + Client, Automation, Management","Contributes reusable Branding knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Branding Drafts,Branding,__init__.py,Branding Drafts\bois\core\__init__.py,.py,4,Branding + Automation,"Contributes reusable Branding knowledge, context, or operating doctrine.",Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
