Workspace,Domain,Concern,Status,Severity,Evidence,Recommended Addition,Completion Criteria
The Agency Drafts Root,Agency,Intent,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_MISSION_VISION_OBJECTIVES.md,"Agency Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Strategy,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_STRATEGIC_ROADMAP.md,"Agency Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Constitution,Missing,Critical,No authoritative agency-wide artifact was found for this concern in the root operating layer.,00_Agency_Workspace_Intelligence\00_Governance\AGENCY_OPERATING_CONSTITUTION.md,"Agency Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Governance,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\00_Governance\AGENCY_GOVERNANCE_CHARTER_AND_RACI.md,"Agency Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Orchestration,Partially Present,Critical,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\01_Orchestration\AGENCY_ORCHESTRATION_ENGINE.md,"Agency Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Workspace Intelligence,Present,None,Baseline extraction pack provides central blueprint/register/relationship graph evidence.,00_Agency_Workspace_Intelligence\00_Workspace_Intelligence_Inventory\AGENCY_SOURCE_INTELLIGENCE_REGISTER.md,"Agency Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Separation Intelligence,Partially Present,Medium-High,"Baseline architecture exists, but the concern is not yet promoted into a governed agency-wide operating artifact with owner, cadence, and closure gate.",00_Agency_Workspace_Intelligence\00_Workspace_Intelligence_Inventory\AGENCY_SEPARATION_DELIVERY_MAP.md,"Agency Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Domain Intelligence,Present,None,Baseline extraction pack provides central blueprint/register/relationship graph evidence.,00_Agency_Workspace_Intelligence\02_Domain_Intelligence\AGENCY_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"Agency Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Registries,Present,None,Baseline extraction pack provides central blueprint/register/relationship graph evidence.,00_Agency_Workspace_Intelligence\03_Registries\AGENCY_MASTER_REGISTRY.md,"Agency Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,Architecture,Present,None,Baseline extraction pack provides central blueprint/register/relationship graph evidence.,00_Agency_Workspace_Intelligence\01_Architecture\AGENCY_OPERATING_ARCHITECTURE.md,"Agency Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
