Gap ID,Workspace,Domain,Gap Name,Gap Category,Gap Layer,Status,Severity,Gap Impact,Root Cause,Required Solution,Required Markdowns,Required Protocols,Required Registries,Required Governance,Required Ownership,Required Orchestration,Required Validation,Required Observability,Required Evolution,Required Dependencies,Required Placement,Required Sequencing,Completion Criteria
AGENCY-INTENT,The Agency Drafts Root,Agency,Agency Intent Control Gap,Intent,Master workspace operating system and enterprise control layer.,Partially Present,Critical,"Agency operators cannot reliably answer who owns intent, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote intent into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_MISSION_VISION_OBJECTIVES.md,Agency Intent protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_MISSION_VISION_OBJECTIVES.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-STRATEGY,The Agency Drafts Root,Agency,Agency Strategy Control Gap,Strategy,Master workspace operating system and enterprise control layer.,Partially Present,Critical,"Agency operators cannot reliably answer who owns strategy, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote strategy into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_STRATEGIC_ROADMAP.md,Agency Strategy protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_STRATEGIC_ROADMAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-CONSTITUTION,The Agency Drafts Root,Agency,Agency Constitution Control Gap,Constitution,Master workspace operating system and enterprise control layer.,Missing,Critical,"Agency operators cannot reliably answer who owns constitution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The workspace has a powerful extraction pack, but no root-level canonical operating artifact yet owns this concern.","Promote constitution into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\00_Governance\AGENCY_OPERATING_CONSTITUTION.md,Agency Constitution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\00_Governance\AGENCY_OPERATING_CONSTITUTION.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-GOVERNANCE,The Agency Drafts Root,Agency,Agency Governance Control Gap,Governance,Master workspace operating system and enterprise control layer.,Partially Present,Critical,"Agency operators cannot reliably answer who owns governance, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote governance into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\00_Governance\AGENCY_GOVERNANCE_CHARTER_AND_RACI.md,Agency Governance protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\00_Governance\AGENCY_GOVERNANCE_CHARTER_AND_RACI.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-ORCHESTRATION,The Agency Drafts Root,Agency,Agency Orchestration Control Gap,Orchestration,Master workspace operating system and enterprise control layer.,Partially Present,Critical,"Agency operators cannot reliably answer who owns orchestration, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote orchestration into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\01_Orchestration\AGENCY_ORCHESTRATION_ENGINE.md,Agency Orchestration protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\01_Orchestration\AGENCY_ORCHESTRATION_ENGINE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-SEPARATION-INTELLIGENCE,The Agency Drafts Root,Agency,Agency Separation Intelligence Control Gap,Separation Intelligence,Master workspace operating system and enterprise control layer.,Partially Present,Medium-High,"Agency operators cannot reliably answer who owns separation intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote separation intelligence into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\00_Workspace_Intelligence_Inventory\AGENCY_SEPARATION_DELIVERY_MAP.md,Agency Separation Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\00_Workspace_Intelligence_Inventory\AGENCY_SEPARATION_DELIVERY_MAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-STATE-MANAGEMENT,The Agency Drafts Root,Agency,Agency State Management Control Gap,State Management,Master workspace operating system and enterprise control layer.,Partially Present,Medium-High,"Agency operators cannot reliably answer who owns state management, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote state management into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\04_State\AGENCY_STATE_MODEL_AND_STATUS_BOARD.md,Agency State Management protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\04_State\AGENCY_STATE_MODEL_AND_STATUS_BOARD.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency State Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-EXECUTION,The Agency Drafts Root,Agency,Agency Execution Control Gap,Execution,Master workspace operating system and enterprise control layer.,Partially Present,Medium-High,"Agency operators cannot reliably answer who owns execution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote execution into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\05_Execution\AGENCY_EXECUTION_PLAYBOOK.md,Agency Execution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\05_Execution\AGENCY_EXECUTION_PLAYBOOK.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Execution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-WORKFLOWS,The Agency Drafts Root,Agency,Agency Workflows Control Gap,Workflows,Master workspace operating system and enterprise control layer.,Partially Present,Medium-High,"Agency operators cannot reliably answer who owns workflows, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The concern exists as central intelligence, but it is not fully converted into governed execution, ownership, cadence, and validation.","Promote workflows into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\05_Execution\AGENCY_WORKFLOW_CATALOG.md,Agency Workflows protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\05_Execution\AGENCY_WORKFLOW_CATALOG.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Workflows is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
AGENCY-AGENTS,The Agency Drafts Root,Agency,Agency Agents Control Gap,Agents,Master workspace operating system and enterprise control layer.,Missing,Medium-High,"Agency operators cannot reliably answer who owns agents, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","The workspace has a powerful extraction pack, but no root-level canonical operating artifact yet owns this concern.","Promote agents into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",00_Agency_Workspace_Intelligence\06_Automation\AGENCY_AGENT_REGISTRY.md,Agency Agents protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,AGENCY_MASTER_REGISTRY plus Agency Global Source Registry.,"Agency Operating Council / Founder approves ownership, risk class, cadence, and escalation route.",Agency Operating Council / Founder,"Route through Agency orchestration and the agency dependency graph: upstream All domain workspaces, market reality, client outcomes, financial controls; downstream All domain operating systems, governance, orchestration, dashboards, memory, automation.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.",00_Agency_Workspace_Intelligence\06_Automation\AGENCY_AGENT_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Agency Agents is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
