"SourceId","Name","Path","Origin","Draft","LastWrite","Words","ParagraphCount","Category","OperationalRole","Maturity","Criticality","AIRelevance"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\360 Sales System Map. Draft 42.docx","Sales Drafts","42","5/11/2026 7:50:07 PM","3030","752","Integrated sales operating system and commercial architecture","System blueprint / master synthesis","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Asking the right questions. Draft 44.docx","Sales Drafts","44","5/11/2026 7:54:30 PM","3877","859","Market, customer, buyer, and channel intelligence","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-054-AUDIENCE","Audience Navigation in Sales. Draft 54.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Audience Navigation in Sales. Draft 54.docx","Sales Drafts","54","5/12/2026 9:50:02 AM","2671","639","Market, customer, buyer, and channel intelligence","Market-facing intelligence and targeting system","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Build Sales Metrics. Draft 31.docx","Sales Drafts","31","5/11/2026 7:22:14 PM","3639","922","Revenue operations, cadence, measurement, and performance management","Measurement, reporting, decision intelligence, and RevOps control","Operational draft / usable control artifact","High","Critical"
"SD-005-BUILDING","Building a Sales Momentum. Draft 5.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Building a Sales Momentum. Draft 5.docx","Sales Drafts","5","5/11/2026 5:31:35 PM","3442","817","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-058-BUILDING","Building Sales Audience Pre-Sale. Draft 58.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Building Sales Audience Pre-Sale. Draft 58.docx","Sales Drafts","58","5/12/2026 9:54:50 AM","2598","613","Market, customer, buyer, and channel intelligence","Market-facing intelligence and targeting system","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-021-BUILDING","Building Sales Sector Knowledge. Draft 21.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Building Sales Sector Knowledge. Draft 21.docx","Sales Drafts","21","5/11/2026 6:09:05 PM","3745","918","Market, customer, buyer, and channel intelligence","Market-facing intelligence and targeting system","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-052-DAILYSAL","Daily Sales Action Plan. Draft 52.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Daily Sales Action Plan. Draft 52.docx","Sales Drafts","52","5/12/2026 9:47:26 AM","3234","744","AI, intelligence architecture, and institutional cognition","AI execution and orchestration control layer","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-029-DYNAMICS","Dynamic Sales System Design. Draft 29.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Dynamic Sales System Design. Draft 29.docx","Sales Drafts","29","5/11/2026 6:53:34 PM","3601","893","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Advanced synthesis / near-operational blueprint","Medium","Critical"
"SD-014-HANDLING","Handling Sales Negatives. Draft 14.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Handling Sales Negatives. Draft 14.docx","Sales Drafts","14","5/11/2026 5:59:31 PM","3293","694","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-027-MAINTAIN","Maintaing Sales System. Draft 27.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Maintaing Sales System. Draft 27.docx","Sales Drafts","27","5/11/2026 6:42:23 PM","2756","605","AI, intelligence architecture, and institutional cognition","AI execution and orchestration control layer","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-043-MISSIONV","Mission Vision Goal Values. Draft 43.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Mission Vision Goal Values. Draft 43.docx","Sales Drafts","43","5/11/2026 7:51:27 PM","3531","840","Foundational doctrine, philosophy, and strategic worldview","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-024-MONETIZA","Monetization Layer in Sales. Draft 24.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Monetization Layer in Sales. Draft 24.docx","Sales Drafts","24","5/11/2026 6:15:11 PM","3729","978","Monetization, revenue architecture, and offer economics","Commercial model, pricing, monetization, and offer design","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-029-MONETIZI","Monetizing Sales System. Draft 29.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Monetizing Sales System. Draft 29.docx","Sales Drafts","29","5/11/2026 7:00:56 PM","2698","664","Monetization, revenue architecture, and offer economics","Commercial model, pricing, monetization, and offer design","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-051-MONETIZI","Monetizing Sales System. Draft 51.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Monetizing Sales System. Draft 51.docx","Sales Drafts","51","5/12/2026 9:45:29 AM","2611","621","Monetization, revenue architecture, and offer economics","Commercial model, pricing, monetization, and offer design","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-019-MUTUALDI","Mutual Discovery in Sales. Draft 19.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Mutual Discovery in Sales. Draft 19.docx","Sales Drafts","19","5/11/2026 6:06:34 PM","3750","863","Market, customer, buyer, and channel intelligence","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-033-NETWORKI","Networking Partnership Structure. Draft 33.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Networking Partnership Structure. Draft 33.docx","Sales Drafts","33","5/11/2026 7:26:26 PM","3518","918","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-063-NIKOLAUS","Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Nikolaus Luhmann_Luhmannian Sales Theory. Draft 63.docx","Sales Drafts","63","5/12/2026 10:00:39 AM","3223","790","AI, intelligence architecture, and institutional cognition","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-016-OUTCOMEO","Outcome of the 99.9% Success System. Draft 16.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Outcome of the 99.9% Success System. Draft 16.docx","Sales Drafts","16","5/11/2026 6:02:38 PM","3571","870","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-030-PHYCHOGR","Phychographics in Sales. Draft 30.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Phychographics in Sales. Draft 30.docx","Sales Drafts","30","5/11/2026 7:20:17 PM","3336","836","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-065-REVENUEA","Revenue Architecture Framework. Draft 65.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Revenue Architecture Framework. Draft 65.docx","Sales Drafts","65","5/12/2026 10:04:45 AM","2403","699","AI, intelligence architecture, and institutional cognition","System blueprint / master synthesis","Advanced synthesis / near-operational blueprint","Critical","Critical"
"SD-009-SALESAND","Sales and Marketing Alginment. Draft 9.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales and Marketing Alginment. Draft 9.docx","Sales Drafts","9","5/11/2026 5:47:57 PM","3397","830","Integrated sales operating system and commercial architecture","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-037-SALESASP","Sales as Power Navigation. Draft 37.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales as Power Navigation. Draft 37.docx","Sales Drafts","37","5/11/2026 7:38:57 PM","3623","840","Foundational doctrine, philosophy, and strategic worldview","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-038-SALESASP","Sales as Power Navigation. Draft 38.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales as Power Navigation. Draft 38.docx","Sales Drafts","38","5/11/2026 7:42:49 PM","3623","840","Foundational doctrine, philosophy, and strategic worldview","Supporting doctrine or execution intelligence","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-003-SALESCAD","Sales Cadence Stratergy. Draft 3.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales Cadence Stratergy. Draft 3.docx","Sales Drafts","3","5/11/2026 5:28:02 PM","3616","893","Revenue operations, cadence, measurement, and performance management","Execution cadence and frontline operating procedure","Conceptual draft / strategic intelligence fragment","High","Critical"
"SD-034-SALESCAL","Sales Calendar Operations. Draft 34.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales Calendar Operations. Draft 34.docx","Sales Drafts","34","5/11/2026 7:27:51 PM","4508","1004","Revenue operations, cadence, measurement, and performance management","Execution cadence and frontline operating procedure","Operational draft / usable control artifact","Medium","Critical"
"SD-050-SALESCHA","Sales Channels Overview. Draft 50.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales Channels Overview. Draft 50.docx","Sales Drafts","50","5/11/2026 8:02:53 PM","2519","550","Market, customer, buyer, and channel intelligence","System blueprint / master synthesis","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-036-SALESCOM","Sales Competition Layers. Draft 36.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales Competition Layers. Draft 36.docx","Sales Drafts","36","5/11/2026 7:30:47 PM","2604","618","Market, customer, buyer, and channel intelligence","Market-facing intelligence and targeting system","Conceptual draft / strategic intelligence fragment","Medium","High"
"SD-026-SALESCYC","Sales Cycle Execution Tips. Draft 26.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales Cycle Execution Tips. Draft 26.docx","Sales Drafts","26","5/11/2026 6:38:14 PM","4147","1005","Sales process, diagnostics, SOPs, and execution mechanics","Execution cadence and frontline operating procedure","Conceptual draft / strategic intelligence fragment","Medium","Critical"
"SD-018-SALESDEC","Sales Decision Intelligence. Draft 18.docx","C:\Users\USER\OneDrive\Documents\Sales Drafts\Sales Decision Intelligence. Draft 18.docx","Sales Drafts","18","5/11/2026 6:05:19 PM","3654","933","Integrated sales operating system and commercial architecture","Measurement, reporting, decision intelligence, and RevOps control","Conceptual draft / strategic intelligence fragment","Medium","Critical"
