Gap ID,Workspace,Domain,Gap Name,Gap Category,Gap Layer,Status,Severity,Gap Impact,Root Cause,Required Solution,Required Markdowns,Required Protocols,Required Registries,Required Governance,Required Ownership,Required Orchestration,Required Validation,Required Observability,Required Evolution,Required Dependencies,Required Placement,Required Sequencing,Completion Criteria
OFFER-INTENT,Offer Drafts,Offer,Offer Intent Control Gap,Intent,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,High,"Offer operators cannot reliably answer who owns intent, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote intent into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\00_Foundation\OFFER_MISSION_VISION_OBJECTIVES.md,Offer Intent protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\00_Foundation\OFFER_MISSION_VISION_OBJECTIVES.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-STRATEGY,Offer Drafts,Offer,Offer Strategy Control Gap,Strategy,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,High,"Offer operators cannot reliably answer who owns strategy, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote strategy into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\00_Foundation\OFFER_STRATEGIC_ROADMAP.md,Offer Strategy protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\00_Foundation\OFFER_STRATEGIC_ROADMAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-CONSTITUTION,Offer Drafts,Offer,Offer Constitution Control Gap,Constitution,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Missing,Critical,"Offer operators cannot reliably answer who owns constitution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote constitution into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\00_Governance\OFFER_OPERATING_CONSTITUTION.md,Offer Constitution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\00_Governance\OFFER_OPERATING_CONSTITUTION.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-GOVERNANCE,Offer Drafts,Offer,Offer Governance Control Gap,Governance,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,High,"Offer operators cannot reliably answer who owns governance, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote governance into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\00_Governance\OFFER_GOVERNANCE_CHARTER_AND_RACI.md,Offer Governance protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\00_Governance\OFFER_GOVERNANCE_CHARTER_AND_RACI.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-ORCHESTRATION,Offer Drafts,Offer,Offer Orchestration Control Gap,Orchestration,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,High,"Offer operators cannot reliably answer who owns orchestration, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote orchestration into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\01_Orchestration\OFFER_ORCHESTRATION_ENGINE.md,Offer Orchestration protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\01_Orchestration\OFFER_ORCHESTRATION_ENGINE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-WORKSPACE-INTELLIGENCE,Offer Drafts,Offer,Offer Workspace Intelligence Control Gap,Workspace Intelligence,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Missing,Critical,"Offer operators cannot reliably answer who owns workspace intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote workspace intelligence into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\00_Workspace_Intelligence_Inventory\OFFER_SOURCE_INTELLIGENCE_REGISTER.md,Offer Workspace Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\00_Workspace_Intelligence_Inventory\OFFER_SOURCE_INTELLIGENCE_REGISTER.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-SEPARATION-INTELLIGENCE,Offer Drafts,Offer,Offer Separation Intelligence Control Gap,Separation Intelligence,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,Medium-High,"Offer operators cannot reliably answer who owns separation intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote separation intelligence into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\00_Workspace_Intelligence_Inventory\OFFER_SEPARATION_DELIVERY_MAP.md,Offer Separation Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\00_Workspace_Intelligence_Inventory\OFFER_SEPARATION_DELIVERY_MAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-DOMAIN-INTELLIGENCE,Offer Drafts,Offer,Offer Domain Intelligence Control Gap,Domain Intelligence,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,Medium-High,"Offer operators cannot reliably answer who owns domain intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote domain intelligence into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\02_Domain_Intelligence\OFFER_ONTOLOGY_AND_DOMAIN_REGISTRY.md,Offer Domain Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\02_Domain_Intelligence\OFFER_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-REGISTRIES,Offer Drafts,Offer,Offer Registries Control Gap,Registries,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Missing,Critical,"Offer operators cannot reliably answer who owns registries, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote registries into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\03_Registries\OFFER_MASTER_REGISTRY.md,Offer Registries protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\03_Registries\OFFER_MASTER_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
OFFER-ARCHITECTURE,Offer Drafts,Offer,Offer Architecture Control Gap,Architecture,"Value architecture, pricing, packaging, promise control, risk reduction, and revenue model layer.",Partially Present,Medium-High,"Offer operators cannot reliably answer who owns architecture, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote architecture into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer Drafts\01_Architecture\OFFER_OPERATING_ARCHITECTURE.md,Offer Architecture protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,OFFER_MASTER_REGISTRY plus Agency Global Source Registry.,"Offer OS Owner / Value Architecture Lead approves ownership, risk class, cadence, and escalation route.",Offer OS Owner / Value Architecture Lead,"Route through Offer orchestration and the agency dependency graph: upstream Sector, Client, Finance, Sales, Branding, Management; downstream Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.",Offer Drafts\01_Architecture\OFFER_OPERATING_ARCHITECTURE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Offer Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
