Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
Financial Drafts,Finance,Financial Drafts\00_Governance\FINANCE_OPERATING_CONSTITUTION.md,"Promote constitution into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Critical,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\07_Schemas\FINANCE_DATA_CONTRACTS_AND_SCHEMAS.md,"Promote schemas into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Medium,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Schemas is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\09_Validation\FINANCE_VALIDATION_GATES.md,"Promote validation into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Validation is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\11_Memory\FINANCE_HISTORICAL_MEMORY_LOG.md,"Promote historical memory into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Medium-High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Historical Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\12_Learning\FINANCE_LEARNING_LOOP_PROTOCOL.md,"Promote learning systems into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Medium-High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Learning Systems is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\15_Change\FINANCE_CHANGE_CONTROL_PROTOCOL.md,"Promote change management into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Medium-High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Change Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\16_Recovery\FINANCE_RECOVERY_AND_FALLBACK_PLAN.md,"Promote recovery into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Medium,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Recovery is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\00_Foundation\FINANCE_INITIATIVE_PORTFOLIO.md,"Promote strategic planning into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,Medium-High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Strategic Planning is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\17_Evolution\FINANCE_EVOLUTION_ROADMAP.md,"Promote evolution into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Evolution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Financial Drafts,Finance,Financial Drafts\18_Completion\FINANCE_COMPLETION_CRITERIA.md,"Promote completion into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Finance OS Owner / Financial Control Lead,High,"Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Finance Completion is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
