Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
The Agency Draft 1.2,Management,The Agency Draft 1.2\00_Foundation\MANAGEMENT_MISSION_VISION_OBJECTIVES.md,"Promote intent into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\00_Foundation\MANAGEMENT_STRATEGIC_ROADMAP.md,"Promote strategy into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\00_Governance\MANAGEMENT_OPERATING_CONSTITUTION.md,"Promote constitution into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\00_Governance\MANAGEMENT_GOVERNANCE_CHARTER_AND_RACI.md,"Promote governance into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\01_Orchestration\MANAGEMENT_ORCHESTRATION_ENGINE.md,"Promote orchestration into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\00_Workspace_Intelligence_Inventory\MANAGEMENT_SOURCE_INTELLIGENCE_REGISTER.md,"Promote workspace intelligence into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\00_Workspace_Intelligence_Inventory\MANAGEMENT_SEPARATION_DELIVERY_MAP.md,"Promote separation intelligence into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,Medium-High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\02_Domain_Intelligence\MANAGEMENT_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"Promote domain intelligence into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,Medium-High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\03_Registries\MANAGEMENT_MASTER_REGISTRY.md,"Promote registries into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Draft 1.2,Management,The Agency Draft 1.2\01_Architecture\MANAGEMENT_OPERATING_ARCHITECTURE.md,"Promote architecture into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Management OS Owner / Agency Strategy Lead,Medium-High,"Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.","Management Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
