Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
The Agency Draft 1.2,Management,360  Degree Agncy Framework Draft 9.docx,The Agency Draft 1.2\360  Degree Agncy Framework Draft 9.docx,.docx,4315,"Automation + Operations, Sector, Management","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
The Agency Draft 1.2,Management,360 Agency Execution. Draft 28.docx,The Agency Draft 1.2\360 Agency Execution. Draft 28.docx,.docx,2391,"Automation + Management, Operations, Client",Turns Automation intelligence into repeatable operating steps.,Vision doctrine; Architecture / system map; Execution workflow; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
The Agency Draft 1.2,Management,360 Revenue Growth. Draft 5.docx,The Agency Draft 1.2\360 Revenue Growth. Draft 5.docx,.docx,2071,"Automation + Marketing, Management, Client","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Measurement / KPI asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
The Agency Draft 1.2,Management,360Agency Dependancy Mapping. Draft 29.docx,The Agency Draft 1.2\360Agency Dependancy Mapping. Draft 29.docx,.docx,843,"Management + Client, Marketing, Sales","Positions Management components, dependencies, controls, and flows inside the agency OS.",Vision doctrine; Architecture / system map; Execution workflow; anchors Management in the Vision -> Strategy -> System -> Workflow chain.,High,"unclear decision rights, priority conflict, stale governance"
The Agency Draft 1.2,Management,Agency BrandingMarketing. Draft 3.docx,The Agency Draft 1.2\Agency BrandingMarketing. Draft 3.docx,.docx,1934,"Branding + Sector, Marketing, Client","Contributes reusable Branding knowledge, context, or operating doctrine.",Execution workflow; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
The Agency Draft 1.2,Management,Agency Revenue Orchestration. Draft 7.docx,The Agency Draft 1.2\Agency Revenue Orchestration. Draft 7.docx,.docx,3886,"Automation + Management, Offer, Operations","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Automation / agent runtime; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
The Agency Draft 1.2,Management,Agency Vision Blue Print. Draft 27.docx,The Agency Draft 1.2\Agency Vision Blue Print. Draft 27.docx,.docx,4143,"Management + Automation, Branding, Client",Defines the long-range doctrine and intent for the Management layer.,Vision doctrine; Architecture / system map; Execution workflow; anchors Management in the Vision -> Strategy -> System -> Workflow chain.,High,"unclear decision rights, priority conflict, stale governance"
The Agency Draft 1.2,Management,AgencyOs Cognitive Framework. Draft 1.docx,The Agency Draft 1.2\AgencyOs Cognitive Framework. Draft 1.docx,.docx,3904,"Automation + Operations, Management, Branding","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Automation / agent runtime; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
The Agency Draft 1.2,Management,Brand Color System. Draft 2.docx,The Agency Draft 1.2\Brand Color System. Draft 2.docx,.docx,1530,"Branding + Management, Automation, Marketing","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
The Agency Draft 1.2,Management,Branding as Intelligence System. Draft 14.docx,The Agency Draft 1.2\Branding as Intelligence System. Draft 14.docx,.docx,2189,"Branding + Management, Automation, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Vision doctrine; Architecture / system map; Execution workflow; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
The Agency Draft 1.2,Management,Branding Execution. Draft 21.docx,The Agency Draft 1.2\Branding Execution. Draft 21.docx,.docx,2626,"Branding + Automation, Management, Operations",Turns Branding intelligence into repeatable operating steps.,Vision doctrine; Architecture / system map; Execution workflow; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
