Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
Offer Drafts,Offer,Offer Drafts\00_Foundation\OFFER_MISSION_VISION_OBJECTIVES.md,"Promote intent into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\00_Foundation\OFFER_STRATEGIC_ROADMAP.md,"Promote strategy into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\00_Governance\OFFER_OPERATING_CONSTITUTION.md,"Promote constitution into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Critical,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\00_Governance\OFFER_GOVERNANCE_CHARTER_AND_RACI.md,"Promote governance into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\01_Orchestration\OFFER_ORCHESTRATION_ENGINE.md,"Promote orchestration into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\00_Workspace_Intelligence_Inventory\OFFER_SOURCE_INTELLIGENCE_REGISTER.md,"Promote workspace intelligence into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Critical,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\00_Workspace_Intelligence_Inventory\OFFER_SEPARATION_DELIVERY_MAP.md,"Promote separation intelligence into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Medium-High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\02_Domain_Intelligence\OFFER_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"Promote domain intelligence into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Medium-High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\03_Registries\OFFER_MASTER_REGISTRY.md,"Promote registries into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Critical,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\01_Architecture\OFFER_OPERATING_ARCHITECTURE.md,"Promote architecture into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Medium-High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\04_State\OFFER_STATE_MODEL_AND_STATUS_BOARD.md,"Promote state management into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Medium-High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer State Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\05_Execution\OFFER_EXECUTION_PLAYBOOK.md,"Promote execution into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Medium-High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Execution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
Offer Drafts,Offer,Offer Drafts\05_Execution\OFFER_WORKFLOW_CATALOG.md,"Promote workflows into the authoritative Offer OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Offer OS Owner / Value Architecture Lead,Medium-High,"Upstream: Sector, Client, Finance, Sales, Branding, Management. Downstream: Marketing, Sales, Client Delivery, Finance, ClientPartner Acquisition.","Offer Workflows is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
