Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
Financial Drafts,Finance,Business Structure Insights. Draft 13.docx,Financial Drafts\Business Structure Insights. Draft 13.docx,.docx,2311,"Finance + Automation, Management, Hiring","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Cash Flow Engineering Sytem. Draft 4.docx,Financial Drafts\Cash Flow Engineering Sytem. Draft 4.docx,.docx,3089,"Finance + Automation, Management, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Business Finance System. Draft 2.docx,Financial Drafts\Elite Business Finance System. Draft 2.docx,.docx,2522,"Finance + Automation, Management, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Business Financial System. Draft 11.docx,Financial Drafts\Elite Business Financial System. Draft 11.docx,.docx,2556,"Finance + Automation, Management, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Capital Allocation. Draft 6.docx,Financial Drafts\Elite Capital Allocation. Draft 6.docx,.docx,2868,"Finance + Automation, Management, Hiring",Provides agent/runtime instructions or integration contracts for automating Finance work.,Architecture / system map; Intelligence asset; Governance / risk control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Financial  Architure. Draft 3.docx,Financial Drafts\Elite Financial  Architure. Draft 3.docx,.docx,2717,"Finance + Automation, Management, Legal","Positions Finance components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Execution workflow; Intelligence asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Financial Stratergy.docx,Financial Drafts\Elite Financial Stratergy.docx,.docx,2367,"Finance + Automation, Management, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Financial System.docx,Financial Drafts\Elite Financial System.docx,.docx,3097,"Finance + Management, Automation, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Tax Compliance Systems. Draft 8.docx,Financial Drafts\Elite Tax Compliance Systems. Draft 8.docx,.docx,2898,"Finance + Legal, Management, Automation","Creates control rules that protect Finance execution from trust, legal, and operational risk.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Elite Unit Economics. Draft 5.docx,Financial Drafts\Elite Unit Economics. Draft 5.docx,.docx,2939,"Automation + Finance, Offer, Client","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Financial Drafts,Finance,Financial Execution Mapping.v1.docx,Financial Drafts\Financial Execution Mapping.v1.docx,.docx,1682,"Finance + Automation, Client, Management",Turns Finance intelligence into repeatable operating steps.,Vision doctrine; Architecture / system map; Execution workflow; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Financial Operating System. Draft 1.docx,Financial Drafts\Financial Operating System. Draft 1.docx,.docx,1428,"Finance + Automation, Legal, Client","Contributes reusable Finance knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,Financial Vision. Finance v1.docx,Financial Drafts\Financial Vision. Finance v1.docx,.docx,1059,"Finance + Management, Automation, Client",Defines the long-range doctrine and intent for the Finance layer.,Vision doctrine; Architecture / system map; Execution workflow; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,plugin.json,Financial Drafts\finos-plugin\.codex-plugin\plugin.json,.json,97,"Finance + Automation, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Automation / agent runtime; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,.env.example,Financial Drafts\finos-plugin\.env.example,.example,34,Finance + Automation,"Contributes reusable Finance knowledge, context, or operating doctrine.",Automation / agent runtime; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,.gitignore,Financial Drafts\finos-plugin\.gitignore,[none],0,Finance + Automation,"Preserves reusable Finance source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,Medium,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,.mcp.json,Financial Drafts\finos-plugin\.mcp.json,.json,22,Finance + Automation,Provides agent/runtime instructions or integration contracts for automating Finance work.,Automation / agent runtime; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,schema.sql,Financial Drafts\finos-plugin\database\schema.sql,.sql,1842,"Finance + Automation, Client, Legal","Contributes reusable Finance knowledge, context, or operating doctrine.",Governance / risk control; Automation / agent runtime; Financial control; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,docker-compose.yml,Financial Drafts\finos-plugin\docker-compose.yml,.yml,42,Finance + Automation,"Preserves reusable Finance source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,agent-prompts.md,Financial Drafts\finos-plugin\docs\agent-prompts.md,.md,478,"Finance + Automation, Legal, Hiring",Provides agent/runtime instructions or integration contracts for automating Finance work.,Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
Financial Drafts,Finance,api-contracts.md,Financial Drafts\finos-plugin\docs\api-contracts.md,.md,267,"Finance + Automation, Legal, Client",Provides agent/runtime instructions or integration contracts for automating Finance work.,Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Finance in the Vision -> Strategy -> System -> Workflow chain.,High,"liquidity blindness, bad allocation, compliance gaps, financial state outside ledger"
