Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
Marketing Drafts,Marketing,14 Day Marketing Momentum. Draft 11.docx,Marketing Drafts\14 Day Marketing Momentum. Draft 11.docx,.docx,2451,"Marketing + Sector, Automation, Operations","Contributes reusable Marketing knowledge, context, or operating doctrine.",Execution workflow; Governance / risk control; Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,360 Marketing System Roles. Draft 39.docx,Marketing Drafts\360 Marketing System Roles. Draft 39.docx,.docx,3335,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Advanced Marketing System. Draft 56.docx,Marketing Drafts\Advanced Marketing System. Draft 56.docx,.docx,1727,"Sector + Marketing, Automation, Management","Contributes reusable Sector knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,High,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,Advanced Modern Systems Attention Engineering. Draft 104.docx,Marketing Drafts\Advanced Modern Systems Attention Engineering. Draft 104.docx,.docx,2662,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Agentic Marketing Orchestration Architect. Draft 111.docx,Marketing Drafts\Agentic Marketing Orchestration Architect. Draft 111.docx,.docx,3120,"Marketing + Automation, Sector, Management",Provides agent/runtime instructions or integration contracts for automating Marketing work.,Architecture / system map; Execution workflow; Governance / risk control; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Asset Marketing. Draft 61.docx,Marketing Drafts\Asset Marketing. Draft 61.docx,.docx,1631,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Attribute and Modeling in Marketing. Draft 49.docx,Marketing Drafts\Attribute and Modeling in Marketing. Draft 49.docx,.docx,3111,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Intelligence asset; Measurement / KPI asset; Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Audience Navigation in Marketing. Draft 68.docx,Marketing Drafts\Audience Navigation in Marketing. Draft 68.docx,.docx,1801,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Autonomous Domain. Draft 114.docx,Marketing Drafts\Autonomous Domain. Draft 114.docx,.docx,2264,"Automation + Management, Operations, Marketing","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Marketing Drafts,Marketing,Brand Narrative. Draft 81.docx,Marketing Drafts\Brand Narrative. Draft 81.docx,.docx,3425,"Branding + Marketing, Sector, Automation","Contributes reusable Branding knowledge, context, or operating doctrine.",Vision doctrine; Architecture / system map; Automation / agent runtime; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Marketing Drafts,Marketing,Brand Positioning The perception. Draft 84.docx,Marketing Drafts\Brand Positioning The perception. Draft 84.docx,.docx,4129,"Sector + Marketing, Branding, Automation","Contributes reusable Sector knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,Medium-High,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,Brand Stratergy Intelligence. Draft 46.docx,Marketing Drafts\Brand Stratergy Intelligence. Draft 46.docx,.docx,3057,"Marketing + Sector, Branding, Automation","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Building a Client Portfolio. Draft 24.docx,Marketing Drafts\Building a Client Portfolio. Draft 24.docx,.docx,2458,"Sector + Marketing, Automation, Client","Contributes reusable Sector knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,High,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,Building Account-Based Marketing. Draft 53.docx,Marketing Drafts\Building Account-Based Marketing. Draft 53.docx,.docx,3403,"Sector + Marketing, Automation, Management","Contributes reusable Sector knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,High,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,Building Audience Before Marketing. Draft 69.docx,Marketing Drafts\Building Audience Before Marketing. Draft 69.docx,.docx,1819,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Building Marketing Communities. Draft 51.docx,Marketing Drafts\Building Marketing Communities. Draft 51.docx,.docx,3187,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,Medium,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Building Sector Knowledge. Draft 25.docx,Marketing Drafts\Building Sector Knowledge. Draft 25.docx,.docx,1721,"Sector + Marketing, Automation, Management","Contributes reusable Sector knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,High,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,CAC and ROI Analysis in arketing.docx,Marketing Drafts\CAC and ROI Analysis in arketing.docx,.docx,3013,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Measurement / KPI asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,Medium-High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,CAC and ROI Analysis in Marketing. Draft 50.docx,Marketing Drafts\CAC and ROI Analysis in Marketing. Draft 50.docx,.docx,3013,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Intelligence asset; Governance / risk control; Measurement / KPI asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,Medium-High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Campaign Architecture . Draft 91.docx,Marketing Drafts\Campaign Architecture . Draft 91.docx,.docx,1800,"Marketing + Automation, Sector, Management","Positions Marketing components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Community Narrativge. Draft 98.docx,Marketing Drafts\Community Narrativge. Draft 98.docx,.docx,3474,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Execution workflow; Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Competitors in Marketing. Darft 33.docx,Marketing Drafts\Competitors in Marketing. Darft 33.docx,.docx,3046,"Sector + Marketing, Automation, Branding","Contributes reusable Sector knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Automation / agent runtime; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,High,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,Concept Development. Draft 93.docx,Marketing Drafts\Concept Development. Draft 93.docx,.docx,3501,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Automation / agent runtime; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Content marketing Stratergy. Draft 54.docx,Marketing Drafts\Content marketing Stratergy. Draft 54.docx,.docx,3094,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Content Strategy Breakdown. Draft 94.docx,Marketing Drafts\Content Strategy Breakdown. Draft 94.docx,.docx,3182,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Content Stratergy Intelligence. Draft 47.docx,Marketing Drafts\Content Stratergy Intelligence. Draft 47.docx,.docx,3262,"Marketing + Sector, Automation, Management","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Context More in Marketing. Draft 105.docx,Marketing Drafts\Context More in Marketing. Draft 105.docx,.docx,1938,"Marketing + Sector, Branding, Automation","Contributes reusable Marketing knowledge, context, or operating doctrine.",Vision doctrine; Architecture / system map; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Conversion Architecture Optimizing. Draft 102.docx,Marketing Drafts\Conversion Architecture Optimizing. Draft 102.docx,.docx,1862,"Sector + Marketing, Automation, Management","Positions Sector components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Sector in the Vision -> Strategy -> System -> Workflow chain.,Medium,"stale market assumptions, overgeneralized sector models, weak source confidence"
Marketing Drafts,Marketing,Copywriting Behavioral. Draft 88.docx,Marketing Drafts\Copywriting Behavioral. Draft 88.docx,.docx,3364,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Governance / risk control; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
Marketing Drafts,Marketing,Creative Direction. Draft 92.docx,Marketing Drafts\Creative Direction. Draft 92.docx,.docx,3402,"Marketing + Sector, Automation, Branding","Contributes reusable Marketing knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Marketing in the Vision -> Strategy -> System -> Workflow chain.,High,"tracking gaps, message-market mismatch, brand inconsistency, channel waste"
