Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
Offer Drafts,Offer,Agency Pricing Architure. Draft 28.docx,Offer Drafts\Agency Pricing Architure. Draft 28.docx,.docx,2849,"Offer + Automation, Management, Sales","Positions Offer components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Audience navigation in an offer. Draft 17.docx,Offer Drafts\Audience navigation in an offer. Draft 17.docx,.docx,587,"Offer + Client, Management, Branding","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Autonomous Domain.Draft 26.docx,Offer Drafts\Autonomous Domain.Draft 26.docx,.docx,2151,"Automation + Operations, Management, Offer","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Offer Drafts,Offer,Autonomous Execution Framework. Draft 27.docx,Offer Drafts\Autonomous Execution Framework. Draft 27.docx,.docx,1991,"Automation + Operations, Management, Offer",Turns Automation intelligence into repeatable operating steps.,Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Offer Drafts,Offer,BRPOS System Upgrade. Draft 22.docx,Offer Drafts\BRPOS System Upgrade. Draft 22.docx,.docx,1897,"Branding + Marketing, Offer, Sector","Contributes reusable Branding knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Branding in the Vision -> Strategy -> System -> Workflow chain.,High,"generic output, narrative drift, visual inconsistency, unproven claims"
Offer Drafts,Offer,Building Client Portfolio. Draft 16.docx,Offer Drafts\Building Client Portfolio. Draft 16.docx,.docx,2402,"Client + Offer, Management, Automation","Contributes reusable Client knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Automation / agent runtime; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
Offer Drafts,Offer,Building Pre-Offer Audience. Draft 18.docx,Offer Drafts\Building Pre-Offer Audience. Draft 18.docx,.docx,565,"Offer + Marketing, Branding, Automation","Contributes reusable Offer knowledge, context, or operating doctrine.",Intelligence asset; Automation / agent runtime; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Building Sector Knowledge. Draft 11.docx,Offer Drafts\Building Sector Knowledge. Draft 11.docx,.docx,776,"Offer + Sector, Automation, Client","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,CPAROS System Upgrade.Draft 20.docx,Offer Drafts\CPAROS System Upgrade.Draft 20.docx,.docx,2666,"Sales + Marketing, Client, Automation","Contributes reusable Sales knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Sales in the Vision -> Strategy -> System -> Workflow chain.,High,"CRM hygiene gaps, unsupported claims, pipeline leakage, discount pressure"
Offer Drafts,Offer,Creating High Performance. Draft 7.docx,Offer Drafts\Creating High Performance. Draft 7.docx,.docx,616,"Offer + Automation, Client, Sector","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Governance / risk control; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,Medium,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Engineering Customer Success. Draft 12.docx,Offer Drafts\Engineering Customer Success. Draft 12.docx,.docx,666,"Offer + Client, Automation, Hiring","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Measurement / KPI asset; Automation / agent runtime; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Maintaining Offer Engine. Draft 8.docx,Offer Drafts\Maintaining Offer Engine. Draft 8.docx,.docx,611,"Offer + Client, Automation, Sales","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Offer Alginment Sucess. Draft 2.docx,Offer Drafts\Offer Alginment Sucess. Draft 2.docx,.docx,723,"Offer + Client, Sales, Marketing","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,Medium,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Offer Architure Breakdown. Draft 13.docx,Offer Drafts\Offer Architure Breakdown. Draft 13.docx,.docx,1030,"Offer + Automation, Client, Sector","Positions Offer components, dependencies, controls, and flows inside the agency OS.",Architecture / system map; Governance / risk control; Automation / agent runtime; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
Offer Drafts,Offer,Offer Ecosystem Analysis. Draft 25.docx,Offer Drafts\Offer Ecosystem Analysis. Draft 25.docx,.docx,3659,"Offer + Automation, Branding, Operations","Contributes reusable Offer knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Offer in the Vision -> Strategy -> System -> Workflow chain.,High,"overpromising, margin leakage, unclear value metric, delivery mismatch"
