Gap ID,Workspace,Domain,Gap Name,Gap Category,Gap Layer,Status,Severity,Gap Impact,Root Cause,Required Solution,Required Markdowns,Required Protocols,Required Registries,Required Governance,Required Ownership,Required Orchestration,Required Validation,Required Observability,Required Evolution,Required Dependencies,Required Placement,Required Sequencing,Completion Criteria
MANAGEMENT-INTENT,The Agency Draft 1.2,Management,Management Intent Control Gap,Intent,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns intent, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote intent into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\00_Foundation\MANAGEMENT_MISSION_VISION_OBJECTIVES.md,Management Intent protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\00_Foundation\MANAGEMENT_MISSION_VISION_OBJECTIVES.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-STRATEGY,The Agency Draft 1.2,Management,Management Strategy Control Gap,Strategy,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns strategy, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote strategy into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\00_Foundation\MANAGEMENT_STRATEGIC_ROADMAP.md,Management Strategy protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\00_Foundation\MANAGEMENT_STRATEGIC_ROADMAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-CONSTITUTION,The Agency Draft 1.2,Management,Management Constitution Control Gap,Constitution,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns constitution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote constitution into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\00_Governance\MANAGEMENT_OPERATING_CONSTITUTION.md,Management Constitution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\00_Governance\MANAGEMENT_OPERATING_CONSTITUTION.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-GOVERNANCE,The Agency Draft 1.2,Management,Management Governance Control Gap,Governance,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns governance, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote governance into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\00_Governance\MANAGEMENT_GOVERNANCE_CHARTER_AND_RACI.md,Management Governance protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\00_Governance\MANAGEMENT_GOVERNANCE_CHARTER_AND_RACI.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-ORCHESTRATION,The Agency Draft 1.2,Management,Management Orchestration Control Gap,Orchestration,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns orchestration, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote orchestration into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\01_Orchestration\MANAGEMENT_ORCHESTRATION_ENGINE.md,Management Orchestration protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\01_Orchestration\MANAGEMENT_ORCHESTRATION_ENGINE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-WORKSPACE-INTELLIGENCE,The Agency Draft 1.2,Management,Management Workspace Intelligence Control Gap,Workspace Intelligence,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns workspace intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote workspace intelligence into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\00_Workspace_Intelligence_Inventory\MANAGEMENT_SOURCE_INTELLIGENCE_REGISTER.md,Management Workspace Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\00_Workspace_Intelligence_Inventory\MANAGEMENT_SOURCE_INTELLIGENCE_REGISTER.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-SEPARATION-INTELLIGENCE,The Agency Draft 1.2,Management,Management Separation Intelligence Control Gap,Separation Intelligence,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,Medium-High,"Management operators cannot reliably answer who owns separation intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote separation intelligence into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\00_Workspace_Intelligence_Inventory\MANAGEMENT_SEPARATION_DELIVERY_MAP.md,Management Separation Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\00_Workspace_Intelligence_Inventory\MANAGEMENT_SEPARATION_DELIVERY_MAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-DOMAIN-INTELLIGENCE,The Agency Draft 1.2,Management,Management Domain Intelligence Control Gap,Domain Intelligence,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,Medium-High,"Management operators cannot reliably answer who owns domain intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote domain intelligence into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\02_Domain_Intelligence\MANAGEMENT_ONTOLOGY_AND_DOMAIN_REGISTRY.md,Management Domain Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\02_Domain_Intelligence\MANAGEMENT_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-REGISTRIES,The Agency Draft 1.2,Management,Management Registries Control Gap,Registries,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,High,"Management operators cannot reliably answer who owns registries, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote registries into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\03_Registries\MANAGEMENT_MASTER_REGISTRY.md,Management Registries protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\03_Registries\MANAGEMENT_MASTER_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
MANAGEMENT-ARCHITECTURE,The Agency Draft 1.2,Management,Management Architecture Control Gap,Architecture,"Agency management, strategic command, cross-domain dependency, resource allocation, and operating model layer.",Partially Present,Medium-High,"Management operators cannot reliably answer who owns architecture, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote architecture into the authoritative Management OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Draft 1.2\01_Architecture\MANAGEMENT_OPERATING_ARCHITECTURE.md,Management Architecture protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,MANAGEMENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Management OS Owner / Agency Strategy Lead approves ownership, risk class, cadence, and escalation route.",Management OS Owner / Agency Strategy Lead,"Route through Management orchestration and the agency dependency graph: upstream All domain intelligence, finance, market reality, client outcomes, founder direction; downstream All domains, governance, resource allocation, cadence, roadmap, risk management.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: All domain intelligence, finance, market reality, client outcomes, founder direction. Downstream: All domains, governance, resource allocation, cadence, roadmap, risk management.",The Agency Draft 1.2\01_Architecture\MANAGEMENT_OPERATING_ARCHITECTURE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Management Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
