Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
The Agency Client. Drafts,Client,The Agency Client. Drafts\00_Foundation\CLIENT_MISSION_VISION_OBJECTIVES.md,"Promote intent into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\00_Foundation\CLIENT_STRATEGIC_ROADMAP.md,"Promote strategy into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\00_Governance\CLIENT_OPERATING_CONSTITUTION.md,"Promote constitution into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,Critical,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\00_Governance\CLIENT_GOVERNANCE_CHARTER_AND_RACI.md,"Promote governance into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\01_Orchestration\CLIENT_ORCHESTRATION_ENGINE.md,"Promote orchestration into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\00_Workspace_Intelligence_Inventory\CLIENT_SOURCE_INTELLIGENCE_REGISTER.md,"Promote workspace intelligence into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\00_Workspace_Intelligence_Inventory\CLIENT_SEPARATION_DELIVERY_MAP.md,"Promote separation intelligence into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,Medium-High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\02_Domain_Intelligence\CLIENT_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"Promote domain intelligence into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,Medium-High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\03_Registries\CLIENT_MASTER_REGISTRY.md,"Promote registries into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Client. Drafts,Client,The Agency Client. Drafts\01_Architecture\CLIENT_OPERATING_ARCHITECTURE.md,"Promote architecture into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Client OS Owner / Client Success Lead,Medium-High,"Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Client Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
