Gap ID,Workspace,Domain,Gap Name,Gap Category,Gap Layer,Status,Severity,Gap Impact,Root Cause,Required Solution,Required Markdowns,Required Protocols,Required Registries,Required Governance,Required Ownership,Required Orchestration,Required Validation,Required Observability,Required Evolution,Required Dependencies,Required Placement,Required Sequencing,Completion Criteria
FINANCE-CONSTITUTION,Financial Drafts,Finance,Finance Constitution Control Gap,Constitution,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Missing,Critical,"Finance operators cannot reliably answer who owns constitution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote constitution into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\00_Governance\FINANCE_OPERATING_CONSTITUTION.md,Finance Constitution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\00_Governance\FINANCE_OPERATING_CONSTITUTION.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-SCHEMAS,Financial Drafts,Finance,Finance Schemas Control Gap,Schemas,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Partially Present,Medium,"Finance operators cannot reliably answer who owns schemas, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote schemas into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\07_Schemas\FINANCE_DATA_CONTRACTS_AND_SCHEMAS.md,Finance Schemas protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\07_Schemas\FINANCE_DATA_CONTRACTS_AND_SCHEMAS.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Schemas is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-VALIDATION,Financial Drafts,Finance,Finance Validation Control Gap,Validation,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Partially Present,High,"Finance operators cannot reliably answer who owns validation, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote validation into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\09_Validation\FINANCE_VALIDATION_GATES.md,Finance Validation protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\09_Validation\FINANCE_VALIDATION_GATES.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Validation is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-HISTORICAL-MEMORY,Financial Drafts,Finance,Finance Historical Memory Control Gap,Historical Memory,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Missing,Medium-High,"Finance operators cannot reliably answer who owns historical memory, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote historical memory into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\11_Memory\FINANCE_HISTORICAL_MEMORY_LOG.md,Finance Historical Memory protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\11_Memory\FINANCE_HISTORICAL_MEMORY_LOG.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Historical Memory is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-LEARNING-SYSTEMS,Financial Drafts,Finance,Finance Learning Systems Control Gap,Learning Systems,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Missing,Medium-High,"Finance operators cannot reliably answer who owns learning systems, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote learning systems into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\12_Learning\FINANCE_LEARNING_LOOP_PROTOCOL.md,Finance Learning Systems protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\12_Learning\FINANCE_LEARNING_LOOP_PROTOCOL.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Learning Systems is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-CHANGE-MANAGEMENT,Financial Drafts,Finance,Finance Change Management Control Gap,Change Management,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Partially Present,Medium-High,"Finance operators cannot reliably answer who owns change management, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote change management into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\15_Change\FINANCE_CHANGE_CONTROL_PROTOCOL.md,Finance Change Management protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\15_Change\FINANCE_CHANGE_CONTROL_PROTOCOL.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Change Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-RECOVERY,Financial Drafts,Finance,Finance Recovery Control Gap,Recovery,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Partially Present,Medium,"Finance operators cannot reliably answer who owns recovery, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote recovery into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\16_Recovery\FINANCE_RECOVERY_AND_FALLBACK_PLAN.md,Finance Recovery protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\16_Recovery\FINANCE_RECOVERY_AND_FALLBACK_PLAN.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Recovery is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-STRATEGIC-PLANNING,Financial Drafts,Finance,Finance Strategic Planning Control Gap,Strategic Planning,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Missing,Medium-High,"Finance operators cannot reliably answer who owns strategic planning, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote strategic planning into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\00_Foundation\FINANCE_INITIATIVE_PORTFOLIO.md,Finance Strategic Planning protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\00_Foundation\FINANCE_INITIATIVE_PORTFOLIO.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Strategic Planning is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-EVOLUTION,Financial Drafts,Finance,Finance Evolution Control Gap,Evolution,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Missing,High,"Finance operators cannot reliably answer who owns evolution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote evolution into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\17_Evolution\FINANCE_EVOLUTION_ROADMAP.md,Finance Evolution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\17_Evolution\FINANCE_EVOLUTION_ROADMAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Evolution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
FINANCE-COMPLETION,Financial Drafts,Finance,Finance Completion Control Gap,Completion,"Cash, profitability, risk, ledger, allocation, reporting, and financial observability layer.",Partially Present,High,"Finance operators cannot reliably answer who owns completion, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Conceptual or runtime evidence exists, but the concern is fragmented across drafts and has not been made a single authoritative source with lifecycle status.","Promote completion into the authoritative Finance OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Financial Drafts\18_Completion\FINANCE_COMPLETION_CRITERIA.md,Finance Completion protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,FINANCE_MASTER_REGISTRY plus Agency Global Source Registry.,"Finance OS Owner / Financial Control Lead approves ownership, risk class, cadence, and escalation route.",Finance OS Owner / Financial Control Lead,"Route through Finance orchestration and the agency dependency graph: upstream Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities; downstream Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales revenue, Client delivery economics, Operations spend, Legal/tax, Management priorities. Downstream: Management decisions, Offer pricing, Operations capacity, Hiring, Risk controls.",Financial Drafts\18_Completion\FINANCE_COMPLETION_CRITERIA.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Finance Completion is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
