Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_MISSION_VISION_OBJECTIVES.md,"Promote intent into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Critical,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\00_Foundation\AGENCY_STRATEGIC_ROADMAP.md,"Promote strategy into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Critical,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\00_Governance\AGENCY_OPERATING_CONSTITUTION.md,"Promote constitution into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Critical,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\00_Governance\AGENCY_GOVERNANCE_CHARTER_AND_RACI.md,"Promote governance into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Critical,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\01_Orchestration\AGENCY_ORCHESTRATION_ENGINE.md,"Promote orchestration into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Critical,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\00_Workspace_Intelligence_Inventory\AGENCY_SEPARATION_DELIVERY_MAP.md,"Promote separation intelligence into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Medium-High,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\04_State\AGENCY_STATE_MODEL_AND_STATUS_BOARD.md,"Promote state management into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Medium-High,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency State Management is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\05_Execution\AGENCY_EXECUTION_PLAYBOOK.md,"Promote execution into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Medium-High,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Execution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\05_Execution\AGENCY_WORKFLOW_CATALOG.md,"Promote workflows into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Medium-High,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Workflows is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The Agency Drafts Root,Agency,00_Agency_Workspace_Intelligence\06_Automation\AGENCY_AGENT_REGISTRY.md,"Promote agents into the authoritative Agency OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",Agency Operating Council / Founder,Medium-High,"Upstream: All domain workspaces, market reality, client outcomes, financial controls. Downstream: All domain operating systems, governance, orchestration, dashboards, memory, automation.","Agency Agents is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
