Workspace,Domain,Recommended Markdown,Purpose,Owner,Priority,Dependencies,Completion Criteria
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Foundation\CLIENTPARTNER_MISSION_VISION_OBJECTIVES.md,"Promote intent into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Foundation\CLIENTPARTNER_STRATEGIC_ROADMAP.md,"Promote strategy into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Governance\CLIENTPARTNER_OPERATING_CONSTITUTION.md,"Promote constitution into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Critical,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Governance\CLIENTPARTNER_GOVERNANCE_CHARTER_AND_RACI.md,"Promote governance into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\01_Orchestration\CLIENTPARTNER_ORCHESTRATION_ENGINE.md,"Promote orchestration into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Workspace_Intelligence_Inventory\CLIENTPARTNER_SOURCE_INTELLIGENCE_REGISTER.md,"Promote workspace intelligence into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Critical,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\00_Workspace_Intelligence_Inventory\CLIENTPARTNER_SEPARATION_DELIVERY_MAP.md,"Promote separation intelligence into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\02_Domain_Intelligence\CLIENTPARTNER_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"Promote domain intelligence into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\03_Registries\CLIENTPARTNER_MASTER_REGISTRY.md,"Promote registries into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
The ClientPartner Draft,ClientPartner Acquisition,The ClientPartner Draft\01_Architecture\CLIENTPARTNER_OPERATING_ARCHITECTURE.md,"Promote architecture into the authoritative ClientPartner Acquisition OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",ClientPartner Acquisition Owner / Partnership Growth Lead,Medium-High,"Upstream: Sector, Offer, Branding, Marketing, Sales. Downstream: Sales, Partnerships, Distribution, Revenue channels, Client acquisition memory.","ClientPartner Acquisition Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
