Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
Sales Drafts,Sales,AI_Operations_Index.md,Sales Drafts\06_AI_OPERATIONS\00_Index\AI_Operations_Index.md,.md,244,"Automation + Sales, Operations, Management","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Build_Summary.md,Sales Drafts\06_AI_OPERATIONS\00_Index\Build_Summary.md,.md,96,"Automation + Sales, Operations","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Automation / agent runtime; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Human_Operator_Guide.md,Sales Drafts\06_AI_OPERATIONS\00_Index\Human_Operator_Guide.md,.md,690,"Automation + Sales, Management, Sector","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Source_Agent_Mention_Registry.csv,Sales Drafts\06_AI_OPERATIONS\00_Index\Source_Agent_Mention_Registry.csv,.csv,6297,"Automation + Sales, Management, Offer",Provides agent/runtime instructions or integration contracts for automating Automation work.,Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Agent_Runtime_Template.md,Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Agent_Runtime_Template.md,.md,85,"Automation + Sales, Operations, Legal",Provides agent/runtime instructions or integration contracts for automating Automation work.,Execution workflow; Governance / risk control; Automation / agent runtime; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Master_AI_Operating_Constitution.md,Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Master_AI_Operating_Constitution.md,.md,255,"Automation + Sales, Management, Legal","Contributes reusable Automation knowledge, context, or operating doctrine.",Execution workflow; Intelligence asset; Governance / risk control; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Multi_Agent_Handoff_Template.md,Sales Drafts\06_AI_OPERATIONS\01_System_Prompts\Multi_Agent_Handoff_Template.md,.md,59,Sales + Automation,Provides agent/runtime instructions or integration contracts for automating Sales work.,Governance / risk control; Automation / agent runtime; anchors Sales in the Vision -> Strategy -> System -> Workflow chain.,High,"CRM hygiene gaps, unsupported claims, pipeline leakage, discount pressure"
Sales Drafts,Sales,Agent_Registry.md,Sales Drafts\06_AI_OPERATIONS\02_Agent_Roles\Agent_Registry.md,.md,4292,"Automation + Sales, Management, Offer",Provides agent/runtime instructions or integration contracts for automating Automation work.,Architecture / system map; Intelligence asset; Governance / risk control; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
Sales Drafts,Sales,Skill_Library.md,Sales Drafts\06_AI_OPERATIONS\03_Skills\Skill_Library.md,.md,1391,"Sales + Automation, Legal, Finance","Contributes reusable Sales knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Sales in the Vision -> Strategy -> System -> Workflow chain.,High,"CRM hygiene gaps, unsupported claims, pipeline leakage, discount pressure"
Sales Drafts,Sales,Task_Routing_Matrix.md,Sales Drafts\06_AI_OPERATIONS\04_Routing\Task_Routing_Matrix.md,.md,463,"Automation + Sales, Management, Legal","Contributes reusable Automation knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Intelligence asset; anchors Automation in the Vision -> Strategy -> System -> Workflow chain.,High,"unsafe autonomy, stale memory, connector failure, insufficient approvals"
