Workspace,Domain,Document Name,Relative Path,Extension,Word Count,Layer Assignment,Purpose,Strategic Function,Automation Potential,Risk Factors
The Agency Client. Drafts,Client,Audience navigation in a Client. Draft 19.docx,The Agency Client. Drafts\Audience navigation in a Client. Draft 19.docx,.docx,626,"Client + Branding, Marketing, Offer","Contributes reusable Client knowledge, context, or operating doctrine.",Measurement / KPI asset; Automation / agent runtime; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Building a Pre-Client Audience. Draft 20.docx,The Agency Client. Drafts\Building a Pre-Client Audience. Draft 20.docx,.docx,1242,"Client + Marketing, Branding, Sales","Contributes reusable Client knowledge, context, or operating doctrine.",Execution workflow; Automation / agent runtime; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Clarification Request. Draft 5.docx,The Agency Client. Drafts\Clarification Request. Draft 5.docx,.docx,378,"Client + Hiring, Sales, Offer","Contributes reusable Client knowledge, context, or operating doctrine.",Execution workflow; Measurement / KPI asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Clarity Process. Draft 12.docx,The Agency Client. Drafts\Client Clarity Process. Draft 12.docx,.docx,1265,"Client + Operations, Automation, Legal","Contributes reusable Client knowledge, context, or operating doctrine.",Execution workflow; Governance / risk control; Measurement / KPI asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Cycle Overview. Draft 2.docx,The Agency Client. Drafts\Client Cycle Overview. Draft 2.docx,.docx,401,"Client + Offer, Automation, Sales","Contributes reusable Client knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Measurement / KPI asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Fit and Qualification. Draft 15.docx,The Agency Client. Drafts\Client Fit and Qualification. Draft 15.docx,.docx,638,"Client + Sales, Offer, Hiring","Contributes reusable Client knowledge, context, or operating doctrine.",Architecture / system map; Governance / risk control; Measurement / KPI asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,Medium,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Foundartion Layer. Draft 6.docx,The Agency Client. Drafts\Client Foundartion Layer. Draft 6.docx,.docx,419,"Client + Sales, Sector, Marketing","Contributes reusable Client knowledge, context, or operating doctrine.",Architecture / system map; Intelligence asset; Measurement / KPI asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Funnel s Flywheel. Draft 14.docx,The Agency Client. Drafts\Client Funnel s Flywheel. Draft 14.docx,.docx,294,"Client + Marketing, Automation","Contributes reusable Client knowledge, context, or operating doctrine.",Measurement / KPI asset; Automation / agent runtime; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Journey Design. Draft 7.docx,The Agency Client. Drafts\Client Journey Design. Draft 7.docx,.docx,528,"Client + Automation, Operations, Sales","Contributes reusable Client knowledge, context, or operating doctrine.",Architecture / system map; Execution workflow; Measurement / KPI asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Journey Intergration. Draft 10.docx,The Agency Client. Drafts\Client Journey Intergration. Draft 10.docx,.docx,709,"Client + Branding, Operations","Preserves reusable Client source intelligence, runtime support, or technical implementation detail.",Reference / source asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,Medium,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
The Agency Client. Drafts,Client,Client Onboarding 360. Draft 16.docx,The Agency Client. Drafts\Client Onboarding 360. Draft 16.docx,.docx,1040,"Client + Automation, Operations, Sales","Contributes reusable Client knowledge, context, or operating doctrine.",Vision doctrine; Execution workflow; Intelligence asset; anchors Client in the Vision -> Strategy -> System -> Workflow chain.,High,"expectation mismatch, poor onboarding, scope creep, weak outcome proof"
