"SourceId","Document","ParagraphId","Mention"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0210","AGENT 1 — REVENUE STRATEGY COMMAND"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0240","1A — Market Intelligence Director"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0256","1B — Offer Architecture Strategist"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0268","1C — Revenue Systems Architect"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0277","AGENT 2 — DEMAND GENERATION ENGINE"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0289","2A — Performance Marketing Operator"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0300","2B — Content Influence Strategist"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0309","2C — Partnership Expansion Specialist"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0317","AGENT 3 — SALES EXECUTION FORCE"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0330","3A — SDR / Opportunity Qualifier"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0339","3B — High-Ticket Closer"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0356","3C — Enterprise Deal Strategist"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0365","AGENT 4 — CUSTOMER RETENTION & EXPANSION SYSTEM"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0369","4A — Customer Success Intelligence Manager"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0376","4B — Expansion Revenue Specialist"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0384","AGENT 5 — SALES OPERATIONS & REVOPS INFRASTRUCTURE"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0392","5A — CRM Systems Architect"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0404","5B — Revenue Data Intelligence Analyst"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0412","5C — Workflow Automation Engineer"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0425","AGENT 6 — AI SALES INTELLIGENCE ORCHESTRATION"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0445","6A — Autonomous Sales Monitoring Agent"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0453","6B — Human-Framed Reasoning Agent"
"SD-042-360SALES","360 Sales System Map. Draft 42.docx","P0461","6C — Multi-Agent Orchestrator"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0436","1. EXECUTIVE INTELLIGENCE AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0462","A. Strategic Direction Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0467","B. Competitive Intelligence Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0472","C. Resource Allocation Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0486","2. MARKET INTELLIGENCE AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0495","A. Trend Detection Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0500","B. Competitor Mapping Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0505","C. Customer Sentiment Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0516","3. CUSTOMER PSYCHOLOGY AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0544","4. OFFER ARCHITECT AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0548","A. Pricing Strategy Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0549","B. Value Framing Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0550","C. Offer Differentiation Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0551","D. Risk Reduction Subagent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0555","5. SALES EXECUTION AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0566","A. Lead Qualification Agent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0572","B. Discovery Intelligence Agent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0577","C. Objection Navigation Agent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0582","D. Closing Coordination Agent"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0590","6. AI ORCHESTRATION AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0622","7. PLANNING AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0630","8. TOOL-USE AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0638","9. REFLECTION AGENT"
"SD-044-ASKINGTH","Asking the right questions. Draft 44.docx","P0646","10. MULTI-AGENT ORCHESTRATION AGENT"
"SD-054-AUDIENCE","Audience Navigation in Sales. Draft 54.docx","P0193","AGENT 1 — ATTENTION ACQUISITION ENGINE"
"SD-054-AUDIENCE","Audience Navigation in Sales. Draft 54.docx","P0270","AGENT 2 — TRUST CONVERSION ENGINE"
"SD-054-AUDIENCE","Audience Navigation in Sales. Draft 54.docx","P0308","AGENT 3 — SALES NAVIGATION ENGINE"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0200","1. Pipeline Generation Agent"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0206","2. Qualification Agent"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0219","4. Account Growth Agent"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0225","5. Revenue Intelligence Agent"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0231","6. System Optimization Agent"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0389","AGENT 1 — REVENUE STRATEGY COMMAND"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0431","AGENT 2 — DEMAND GENERATION SYSTEM"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0465","AGENT 3 — SALES EXECUTION ENGINE"
"SD-031-BUILDSAL","Build Sales Metrics. Draft 31.docx","P0512","AGENT 4 — CUSTOMER SUCCESS & EXPANSION ENGINE"
