Gap ID,Workspace,Domain,Gap Name,Gap Category,Gap Layer,Status,Severity,Gap Impact,Root Cause,Required Solution,Required Markdowns,Required Protocols,Required Registries,Required Governance,Required Ownership,Required Orchestration,Required Validation,Required Observability,Required Evolution,Required Dependencies,Required Placement,Required Sequencing,Completion Criteria
CLIENT-INTENT,The Agency Client. Drafts,Client,Client Intent Control Gap,Intent,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,High,"Client operators cannot reliably answer who owns intent, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote intent into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\00_Foundation\CLIENT_MISSION_VISION_OBJECTIVES.md,Client Intent protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\00_Foundation\CLIENT_MISSION_VISION_OBJECTIVES.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Intent is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-STRATEGY,The Agency Client. Drafts,Client,Client Strategy Control Gap,Strategy,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,High,"Client operators cannot reliably answer who owns strategy, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote strategy into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\00_Foundation\CLIENT_STRATEGIC_ROADMAP.md,Client Strategy protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\00_Foundation\CLIENT_STRATEGIC_ROADMAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Strategy is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-CONSTITUTION,The Agency Client. Drafts,Client,Client Constitution Control Gap,Constitution,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Missing,Critical,"Client operators cannot reliably answer who owns constitution, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote constitution into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\00_Governance\CLIENT_OPERATING_CONSTITUTION.md,Client Constitution protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\00_Governance\CLIENT_OPERATING_CONSTITUTION.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Constitution is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-GOVERNANCE,The Agency Client. Drafts,Client,Client Governance Control Gap,Governance,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,High,"Client operators cannot reliably answer who owns governance, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote governance into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\00_Governance\CLIENT_GOVERNANCE_CHARTER_AND_RACI.md,Client Governance protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\00_Governance\CLIENT_GOVERNANCE_CHARTER_AND_RACI.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Governance is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-ORCHESTRATION,The Agency Client. Drafts,Client,Client Orchestration Control Gap,Orchestration,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,High,"Client operators cannot reliably answer who owns orchestration, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote orchestration into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\01_Orchestration\CLIENT_ORCHESTRATION_ENGINE.md,Client Orchestration protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\01_Orchestration\CLIENT_ORCHESTRATION_ENGINE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Orchestration is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-WORKSPACE-INTELLIGENCE,The Agency Client. Drafts,Client,Client Workspace Intelligence Control Gap,Workspace Intelligence,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,High,"Client operators cannot reliably answer who owns workspace intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote workspace intelligence into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\00_Workspace_Intelligence_Inventory\CLIENT_SOURCE_INTELLIGENCE_REGISTER.md,Client Workspace Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\00_Workspace_Intelligence_Inventory\CLIENT_SOURCE_INTELLIGENCE_REGISTER.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Workspace Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-SEPARATION-INTELLIGENCE,The Agency Client. Drafts,Client,Client Separation Intelligence Control Gap,Separation Intelligence,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,Medium-High,"Client operators cannot reliably answer who owns separation intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote separation intelligence into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\00_Workspace_Intelligence_Inventory\CLIENT_SEPARATION_DELIVERY_MAP.md,Client Separation Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\00_Workspace_Intelligence_Inventory\CLIENT_SEPARATION_DELIVERY_MAP.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Separation Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-DOMAIN-INTELLIGENCE,The Agency Client. Drafts,Client,Client Domain Intelligence Control Gap,Domain Intelligence,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,Medium-High,"Client operators cannot reliably answer who owns domain intelligence, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote domain intelligence into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\02_Domain_Intelligence\CLIENT_ONTOLOGY_AND_DOMAIN_REGISTRY.md,Client Domain Intelligence protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\02_Domain_Intelligence\CLIENT_ONTOLOGY_AND_DOMAIN_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Domain Intelligence is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-REGISTRIES,The Agency Client. Drafts,Client,Client Registries Control Gap,Registries,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,High,"Client operators cannot reliably answer who owns registries, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote registries into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\03_Registries\CLIENT_MASTER_REGISTRY.md,Client Registries protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\03_Registries\CLIENT_MASTER_REGISTRY.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Registries is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
CLIENT-ARCHITECTURE,The Agency Client. Drafts,Client,Client Architecture Control Gap,Architecture,"Client lifecycle, onboarding, delivery handoff, health, retention, expansion, and proof capture layer.",Partially Present,Medium-High,"Client operators cannot reliably answer who owns architecture, what is current, what must happen next, which evidence is authoritative, or how completion is proven.","Domain knowledge exists mainly as DOCX drafts, so it lacks controlled markdown registries, protocols, owners, validation gates, and runtime memory.","Promote architecture into the authoritative Client OS layer with source IDs, owner, governance rule, dependency links, validation gate, dashboard signal, memory update, and version path.",The Agency Client. Drafts\01_Architecture\CLIENT_OPERATING_ARCHITECTURE.md,Client Architecture protocol: trigger -> source evidence -> owner review -> approval/risk check -> execution or handoff -> validation -> memory/version update.,CLIENT_MASTER_REGISTRY plus Agency Global Source Registry.,"Client OS Owner / Client Success Lead approves ownership, risk class, cadence, and escalation route.",Client OS Owner / Client Success Lead,"Route through Client orchestration and the agency dependency graph: upstream Sales, Offer, Legal, Finance, Branding, Operations; downstream Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.","Entry criteria, source evidence check, owner sign-off, handoff acceptance, and completion gate.","Dashboard status, freshness date, owner review cadence, risk indicator, and gap closure metric.","Decision log entry, version log entry, quarterly review, and source registry state update.","Upstream: Sales, Offer, Legal, Finance, Branding, Operations. Downstream: Operations, Finance, Management, Retention, Expansion, Referrals, Case studies.",The Agency Client. Drafts\01_Architecture\CLIENT_OPERATING_ARCHITECTURE.md,"1. Confirm source inventory; 2. create canonical markdown; 3. assign owner/RACI; 4. register dependencies and handoffs; 5. define validation and dashboard signals; 6. approve, version, and schedule evolution review.","Client Architecture is complete when the markdown exists at the recommended placement, has an owner and cadence, references source IDs, is registered in the local and agency registry, defines validation and observability, and has a version/evolution log entry."
